"","R'S ID-SERIAL #","SAMPLING WEIGHT","year","Sex","Race","High_school_grades","College_aspirations","Parents_education","Social_Trust","Social_Responsibility","Religiosity","Cigarettes_Lifetime","Cigarettes_30Day","Alcohol_Lifetime","Alcohol_30Day","Binge_Drinking","Marijuana_Lifetime","Marijuana_30Day","Other_illicit_drugs_Lifetime","Other_illicit_drugs_30Day","Hallucinogens_Lifetime","Hallucinogens_30Day","Cocaine_Lifetime","Cocaine_30Day","Amphetamines_Lifetime","Amphetamines_30Day","Barbiturates_Lifetime","Barbiturates_30Day","Tranquilizers_Lifetime","Tranquilizers_30Day","Narcotics_Lifetime","Narcotics_30Day"
"72",10141,0.5667,2009,"Male","Other/missing",8,"4-year college plans","5",2,2.66666666666667,0.413354534762241,1,1,2,1,1,1,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"73",10143,0.6521,2009,"Female","White",4,"4-year college plans","4",1.33333333333333,2,-0.0346805391608991,3,1,4,2,1,5,1,"Yes","No",1,1,1,1,1,1,1,1,1,1,4,1
"74",10144,0.6785,2009,"Female","Other/missing",7,"4-year college plans","6",1,2.66666666666667,-0.929277577458375,2,1,7,3,3,5,2,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"75",10146,0.8394,2009,"Female","Hispanic",4,"2-year college plans","2",1,2.33333333333333,-0.0332074296120937,1,1,7,2,1,3,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"76",10150,3.3663,2009,"Female","White",9,"4-year college plans","6",1.66666666666667,3,0.413354534762241,1,1,2,1,1,1,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"77",10152,1.2312,2009,"Female","Hispanic",7,"4-year college plans","5",1.33333333333333,2,0.411881425213436,1,1,3,2,1,1,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"78",10153,1.6143,2009,"Female","White",5,"2-year college plans","3",1.66666666666667,1.33333333333333,-1.37583954183271,3,1,5,2,1,3,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"79",10157,3.8127,2009,"Male","White",9,"4-year college plans","4",2.33333333333333,2.66666666666667,-0.929277577458375,1,1,1,1,1,1,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"80",10159,2.7625,2009,"Female","Black",7,"4-year college plans","3",2,2,1.30795157305972,1,1,3,1,1,2,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"81",10165,1.2829,2009,"Female","Hispanic",7,"4-year college plans","4",1.66666666666667,2.33333333333333,-1.37583954183271,1,1,1,1,1,1,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"82",10174,3.0797,2009,"Female","White",4,"4-year college plans","4",1.66666666666667,1.66666666666667,0.414827644311047,5,4,5,1,1,3,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"83",10176,0.3889,2009,"Female","Hispanic",8,"4-year college plans","6",1,4,0.414827644311047,1,1,7,6,5,1,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"84",10177,0.4815,2009,"Male","White",5,"No college plans","3",1,2,-0.0332074296120937,5,4,7,5,4,7,4,"Yes","Yes",3,2,2,1,3,2,2,2,3,1,3,1
"85",10180,0.8585,2009,"Male","Black",5,"No college plans","5",1,2,-1.37583954183271,1,1,6,3,1,2,2,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"86",10185,1.5405,2009,"Male","White",7,"4-year college plans","3",1,3,-0.481242503535234,1,1,2,1,1,2,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"87",10186,0.314,2009,"Female","Hispanic",5,"4-year college plans","2",1,2.66666666666667,1.30795157305972,3,2,6,3,1,2,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"88",10187,0.4034,2009,"Male","Hispanic",6,"4-year college plans","2",1,1.33333333333333,-0.0332074296120937,1,1,3,1,1,1,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"89",10191,0.9107,2009,"Female","White",3,"2-year college plans","3",2,1.33333333333333,-1.37583954183271,1,1,4,1,1,1,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"90",10194,0.1803,2009,"Male","White",7,"4-year college plans","5",2,3,1.30795157305972,4,1,7,3,2,7,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"91",10196,1.4148,2009,"Male","Hispanic",5,"4-year college plans","3",1,4,0.414827644311047,1,1,3,1,1,2,1,"Yes","No",1,1,1,1,1,1,1,1,2,1,1,1
"92",10205,0.9784,2009,"Female","White",3,"2-year college plans","4",1.33333333333333,1,0.413354534762241,2,1,5,1,1,1,1,"Yes","No",1,1,1,1,2,1,1,1,1,1,1,1
"93",10207,0.4634,2009,"Female","Hispanic",7,"4-year college plans","4",2.33333333333333,2.66666666666667,0.414827644311047,2,1,2,2,1,1,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"94",10214,1.5806,2009,"Male","Hispanic",7,"4-year college plans","2",1,1.66666666666667,0.414827644311047,1,1,1,1,1,1,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"95",10218,0.5325,2009,"Female","Black",8,"4-year college plans","3",1,2,1.30795157305972,1,1,1,1,1,1,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"96",10219,1.7023,2009,"Female","White",7,"4-year college plans","5",1,4,0.413354534762241,1,1,1,1,1,1,1,"Yes","Yes",1,1,1,1,1,1,5,5,1,1,1,1
"97",10224,0.5584,2009,"Male","White",8,"4-year college plans","4",1,2.66666666666667,-0.481242503535234,1,1,1,1,1,2,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"98",10225,0.4447,2009,"Male","Hispanic",8,"4-year college plans","5",2.33333333333333,1.33333333333333,0.414827644311047,1,1,3,1,1,3,2,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"99",10226,0.6526,2009,"Male","White",9,"4-year college plans","5",1,2.66666666666667,-0.92780446790957,2,1,3,1,1,4,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"100",10227,1.1683,2009,"Female","White",9,"4-year college plans","5",1.66666666666667,3.33333333333333,-1.37583954183271,1,1,1,1,1,1,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"101",10229,0.9782,2009,"Male","Black",4,"2-year college plans","3",1.33333333333333,1.33333333333333,0.859916499136577,2,1,4,1,1,1,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"102",10234,0.9029,2009,"Female","Other/missing",7,"2-year college plans","5",1.33333333333333,3.66666666666667,0.413354534762241,3,1,2,1,1,2,1,"Yes","No",1,1,1,1,1,1,2,1,1,1,1,1
"103",10235,0.8338,2009,"Male","White",3,"4-year college plans","4",1,2.66666666666667,-1.37583954183271,1,1,6,2,2,1,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"104",10240,1.0326,2009,"Male","White",6,"4-year college plans","5",3,3,1.30795157305972,1,1,7,1,1,5,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"105",10241,0.7692,2009,"Female","Other/missing",6,"4-year college plans","5",1,3.33333333333333,-0.481242503535234,1,1,3,2,1,1,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"106",10242,1.2424,2009,"Male","White",9,"4-year college plans","4",1.66666666666667,3.66666666666667,-0.481242503535234,1,1,3,2,1,1,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"107",10243,1.2894,2009,"Female","Other/missing",5,"4-year college plans","3",1.33333333333333,2.66666666666667,0.861389608685382,1,1,3,1,1,1,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"108",10245,0.5932,2009,"Female","Other/missing",4,"4-year college plans","3",1.33333333333333,2.66666666666667,-0.0332074296120937,1,1,1,1,1,1,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"109",10246,0.8824,2009,"Female","White",6,"4-year college plans","6",1.33333333333333,1,-1.37583954183271,5,2,7,2,1,6,1,"Yes","Yes",1,1,1,1,1,1,1,1,1,1,2,2
"110",10249,1.0524,2009,"Female","White",8,"4-year college plans","5",1.33333333333333,2,0.859916499136577,1,1,7,4,2,1,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"111",10250,0.585,2009,"Male","White",3,"2-year college plans","6",1,2,-0.92780446790957,4,1,3,1,1,7,1,"Yes","No",3,1,3,1,2,1,2,1,5,1,3,1
"112",10253,1.3593,2009,"Male","Other/missing",6,"4-year college plans","3",2.33333333333333,1.66666666666667,1.30795157305972,1,1,1,1,1,1,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"113",10255,1.7458,2009,"Male","White",6,"4-year college plans","4",2,2,1.30795157305972,1,1,3,1,1,2,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
